population,article_count,region_coverage
16.877,6844,0.040552230846714464
5.008,11691,0.23344648562300319
83.3,15776,0.018938775510204082
6.596,5273,0.07994238932686476
38.19,1910,0.0050013092432573975
4.987,3127,0.06270302787246841
