,page,country,rev_id,score
27637,Chowdhary Balbir Singh,India,789736824,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:789736824)', 'type': 'RevisionNotFound'}}"
27786,Arthur C. Watson,United States,789816636,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:789816636)', 'type': 'RevisionNotFound'}}"
28191,Farouk Sharif,Philippines,790028876,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:790028876)', 'type': 'RevisionNotFound'}}"
28348,Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:790147995)', 'type': 'RevisionNotFound'}}"
29641,Claybourn – Claiborne – Clayborn family,United States,791866288,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:791866288)', 'type': 'RevisionNotFound'}}"
29842,N. Padmalochanan,India,792184018,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:792184018)', 'type': 'RevisionNotFound'}}"
29977,Marko Selakovic,Serbia,792400552,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:792400552)', 'type': 'RevisionNotFound'}}"
30003,Praveen Agrawal,India,792440851,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:792440851)', 'type': 'RevisionNotFound'}}"
30205,Caleb Crosby,United States,792857662,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:792857662)', 'type': 'RevisionNotFound'}}"
30251,Draft:John Johansson i Gränö,Sweden,792933603,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:792933603)', 'type': 'RevisionNotFound'}}"
30497,Tibor Gaal de Hatvan,Hungary,793280504,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:793280504)', 'type': 'RevisionNotFound'}}"
31226,Chukwuemeka Ihedioha,Nigeria,794311724,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
31273,Gregorei Alexandrovich,Russia,794409906,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:794409906)', 'type': 'RevisionNotFound'}}"
31626,List of Ghana heads of state by age,Ghana,794866848,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:794866848)', 'type': 'RevisionNotFound'}}"
31771,Alfred Moungara Moussotsi,Gabon,794990759,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:794990759)', 'type': 'RevisionNotFound'}}"
32226,Fraz Wahlah,Pakistan,795588781,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:795588781)', 'type': 'RevisionNotFound'}}"
33158,Hovik Jivanyan,Armenia,796744496,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:796744496)', 'type': 'RevisionNotFound'}}"
33178,Stanford Morse,United States,796758810,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:796758810)', 'type': 'RevisionNotFound'}}"
33696,Dan Hilton,Canada,797311794,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:797311794)', 'type': 'RevisionNotFound'}}"
34270,Volodymyr Manzhosov,Ukraine,797902544,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:797902544)', 'type': 'RevisionNotFound'}}"
34982,Jesse Spikes,United States,798615865,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:798615865)', 'type': 'RevisionNotFound'}}"
35245,Maria Hadjipavlou,Cyprus,798891126,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:798891126)', 'type': 'RevisionNotFound'}}"
35334,Darcie Lanthier,Canada,798952867,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:798952867)', 'type': 'RevisionNotFound'}}"
35669,V. Sadasivan,India,799263010,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:799263010)', 'type': 'RevisionNotFound'}}"
